"","HITId","HITTypeId","Title","Description","Keywords","Reward","CreationTime","MaxAssignments","RequesterAnnotation","AssignmentDurationInSeconds","AutoApprovalDelayInSeconds","Expiration","NumberOfSimilarHITs","LifetimeInSeconds","AssignmentId","WorkerId","AssignmentStatus","AcceptTime","SubmitTime","AutoApprovalTime","ApprovalTime","RejectionTime","RequesterFeedback","WorkTimeInSeconds","LifetimeApprovalRate","Last30DaysApprovalRate","Last7DaysApprovalRate","Answer.doNotRedirect","Answer.surveycode","Approve","Reject"
"1","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"3018Q3ZVOKUKSWRY2B4B29QR2LKRAP","A22QD6M0A2C77C","Submitted","Mon Apr 30 12:36:23 PDT 2018","Mon Apr 30 12:39:32 PDT 2018","Thu May 03 12:39:32 PDT 2018",NA,NA,NA,189,"0% (0/0)","0% (0/0)","0% (0/0)","","37720097",NA,NA
"2","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"308Q0PEVBAHTUEEAKIW2SMEG97JI9X","APO6KZZ79PO9Q","Submitted","Mon Apr 30 12:31:02 PDT 2018","Mon Apr 30 13:17:28 PDT 2018","Thu May 03 13:17:28 PDT 2018",NA,NA,NA,2786,"0% (0/0)","0% (0/0)","0% (0/0)","","45502335",NA,NA
"3","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"308Q0PEVBAHTUEEAKIW2SMEG9GII9E","A2W411EORFIXT7","Submitted","Tue May 01 21:20:47 PDT 2018","Tue May 01 21:24:36 PDT 2018","Fri May 04 21:24:36 PDT 2018",NA,NA,NA,229,"0% (0/0)","0% (0/0)","0% (0/0)","","78710660",NA,NA
"4","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"308XBLVESK8PB6WQ8P47XKAXK35BR4","A12O9P1OTMJOPW","Submitted","Mon Apr 30 12:23:17 PDT 2018","Mon Apr 30 12:32:24 PDT 2018","Thu May 03 12:32:24 PDT 2018",NA,NA,NA,547,"0% (0/0)","0% (0/0)","0% (0/0)","","14270344",NA,NA
"5","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30BXRYBRP614AFGY7BO96ULC7VSWHB","A245ULD0JMXA1A","Submitted","Mon Apr 30 13:01:17 PDT 2018","Mon Apr 30 13:18:14 PDT 2018","Thu May 03 13:18:14 PDT 2018",NA,NA,NA,1017,"0% (0/0)","0% (0/0)","0% (0/0)","","9669196",NA,NA
"6","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30H4UDGLT4M0IKK8MMQR65LCVK5PMZ","A2MSVKXC1F3WIU","Submitted","Mon Apr 30 15:18:59 PDT 2018","Mon Apr 30 15:47:42 PDT 2018","Thu May 03 15:47:42 PDT 2018",NA,NA,NA,1723,"0% (0/0)","0% (0/0)","0% (0/0)","","88795795",NA,NA
"7","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30H4UDGLT4M0IKK8MMQR65LCVKSMPJ","A31A4YKVSOYRVS","Submitted","Mon Apr 30 13:53:39 PDT 2018","Mon Apr 30 14:41:14 PDT 2018","Thu May 03 14:41:14 PDT 2018",NA,NA,NA,2855,"0% (0/0)","0% (0/0)","0% (0/0)","","57335599",NA,NA
"8","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30H4UDGLT4M0IKK8MMQR65LCVNIMPF","AJMUEAOM8B79","Submitted","Tue May 01 05:56:54 PDT 2018","Tue May 01 06:01:28 PDT 2018","Fri May 04 06:01:28 PDT 2018",NA,NA,NA,274,"0% (0/0)","0% (0/0)","0% (0/0)","","81162071",NA,NA
"9","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30IQTZXKAMA8OFFSJ8DA2L02UGT0X3","A2DVJ6OMVVYTC7","Submitted","Mon Apr 30 12:24:16 PDT 2018","Mon Apr 30 13:19:38 PDT 2018","Thu May 03 13:19:38 PDT 2018",NA,NA,NA,3322,"0% (0/0)","0% (0/0)","0% (0/0)","","32929194",NA,NA
"10","3UZUVSO3P8ZTZ9YPN65EO9RND9SMEF","3NKEAEA7ZL73ADMC60AO3TT6WFOWWS","Answer a survey about your opinions on different real-life robots","This survey explores your thoughts and feelings about real-life robots. During the survey, you will be asked to watch 6 different videos of robots or people and asked questions about what you see in the videos.","survey, demographics, robots, videos","$0.50","Mon Apr 30 12:22:32 PDT 2018",450,"BatchId:3214686;OriginalHitTemplateId:920937340;",3600,259200,"Mon May 07 12:22:32 PDT 2018",NA,NA,"30LB5CDZNEEXTAF7KQ1VZ6GD2GW0Z5","A1CHC8M7CWC254","Submitted","Mon Apr 30 13:10:31 PDT 2018","Mon Apr 30 13:14:24 PDT 2018","Thu May 03 13:14:24 PDT 2018",NA,NA,NA,233,"0% (0/0)","0% (0/0)","0% (0/0)","","75377070",NA,NA
